Location,Location Src,Location Url,Population,% of world,Date,Source (official or from the United Nations),Source (official or from the United Nations) Url,Notes,Notes Url
World,,,"8,137,753,420",100%,15 Apr 2025,UN projection[1][3],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-UNFPA-1,,
India,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/40px-Flag_of_India.svg.png,https://en.wikipedia.org/wiki/India,"1,413,324,000",17.3%,1 Mar 2025,Official projection[4],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-5,[b],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-6
China,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/40px-Flag_of_the_People%27s_Republic_of_China.svg.png,https://en.wikipedia.org/wiki/China,"1,408,280,000",17.2%,31 Dec 2024,Official estimate[5],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-7,[c],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-8
United States,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png,https://en.wikipedia.org/wiki/United_States,"340,110,988",4.2%,1 Jul 2024,Official estimate[6],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-9,[d],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-10
Indonesia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Indonesia.svg/40px-Flag_of_Indonesia.svg.png,https://en.wikipedia.org/wiki/Indonesia,"282,477,584",3.5%,30 Jun 2024,National annual projection[7],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-11,,
Pakistan,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Pakistan.svg/40px-Flag_of_Pakistan.svg.png,https://en.wikipedia.org/wiki/Pakistan,"241,499,431",3.0%,1 Mar 2023,2023 census result[8],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-12,[e],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-13
Nigeria,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/40px-Flag_of_Nigeria.svg.png,https://en.wikipedia.org/wiki/Nigeria,"223,800,000",2.7%,1 Jul 2023,Official projection[9],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-14,,
Brazil,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/40px-Flag_of_Brazil.svg.png,https://en.wikipedia.org/wiki/Brazil,"212,583,750",2.6%,1 Jul 2024,Official projection[10],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-15,,
Bangladesh,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_Bangladesh.svg/40px-Flag_of_Bangladesh.svg.png,https://en.wikipedia.org/wiki/Bangladesh,"169,828,911",2.1%,14 Jun 2022,2022 census result[11],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-16,[f],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-18
Russia,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/40px-Flag_of_Russia.svg.png,https://en.wikipedia.org/wiki/Russia,"146,028,325",1.8%,1 Jan 2025,Official estimate[13],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-19,[g],https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population#cite_note-20
